1240,4,same,up,down
227.53,226.98,227.6,226.32,2
227.55,228.17,228.2,226.41,2
228.97,229.42,229.59,228.76,2
229.33,229.4,229.71,229.01,1
229.57,228.7,229.57,228.51,1
227.6,226.4,228.08,226.27,2
226.15,226.35,226.805,225.27,1
226.74,226.7,227.31,225.9719,2
225.91,226.84,227,225.41,1
226.75,226.535,226.8,225.9,2
226.25,226.31,226.78,225.8,1
227.05,226.73,227.4,226.69,1
226.53,226.5,226.75,224.955,1
227.1,226.36,227.1,225.59,2
226.46,226.48,227.45,226.01,2
226.46,226.91,227.0701,226.4163,1
227.21,226.53,227.75,225.9,1
226.4,226.27,226.58,225.48,1
226.58,225.62,226.75,225.61,1
225.24,225.04,225.83,223.8837,2
223.53,224.73,224.83,222.73,2
224.35,224.48,224.89,223.84,2
224.4,226.57,226.59,224.27,1
226.27,226.02,226.73,226,1
225.71,225.43,225.72,225.21,2
225.38,225.6,225.74,224.92,2
225.77,226.25,226.45,225.77,1
226.4,226.15,226.57,225.88,1
225.53,225.25,226.02,225.08,2
225.04,226.01,226.08,224.67,1
226.81,226.16,227.81,225.8904,2
225.88,227.41,228.23,225.365,1
227.76,227.02,228.34,227,2
226.25,226.4,226.96,225.76,1
226.51,225.41,226.53,225.37,1
225.15,224.57,225.7,224.26,1
224.6,221.52,224.67,221.38,1
221.7,221.22,221.7441,220.662,1
221,220.65,221.4,220.42,1
219.68,219.67,220.25,219.26,2
219.57,220.73,220.73,219.15,2
220.38,221.63,221.82,220.31,1
220.91,220.52,221.44,220.17,2
220.48,221.16,221.48,220.36,1
221.52,221.1,221.56,221.01,1
220.7,219.98,220.76,219.75,1
220.58,220.51,220.79,219.73,1
220.15,219.17,220.18,219,2
218.5,219.07,219.27,218.29,1
218.99,218.05,219.06,217.92,1
217.87,217.56,218.14,217.42,1
218.28,217.04,218.28,216.8,2
216.59,217.03,217.27,215.72,1
216.42,216.08,216.7,215.32,2
216.92,217.3,218.31,215.22,1
216.3792,212.37,217.1,212.34,1
214.11,212.69,214.77,212.38,1
213.15,211.45,213.19,211.3,2
208.55,208.91,209.89,208.38,2
208.78,209.99,210.24,208.46,2
209.74,210.65,211.1,209.23,2
211.01,212.93,212.99,209.6,2
212.55,212.93,213.19,212.36,2
212.54,213.14,213.93,211.71,2
213.17,214.58,214.62,213.08,1
213.74,213.21,214.42,212.93,2
214.17,214.68,214.98,213.98,2
214.89,215,215.32,214.48,1
213.98,212.96,214.08,212.76,1
213.88,213.87,214.53,213.11,1
214.28,214.02,214.64,213.6,2
213.71,214.24,214.31,213.27,2
212.38,213.09,213.39,212.17,2
213.12,214.15,214.69,213.03,1
213.01,212.16,213.59,211.21,1
213.71,213.59,214.32,213.01,2
213.43,215.66,215.74,212.58,1
216.16,216.155,216.7,215.985,2
215.04,216.1,216.3,214.19,1
215.78,215.37,216.04,214.735,1
215.63,215.41,216.13,215.33,2
214.68,215.91,216.17,213.99,2
215.78,215.82,216.04,215.04,1
216.3,215.65,217.12,215.36,2
214.68,216.4,216.87,214.04,1
216.64,215.83,216.82,214.71,1
215.57,214.05,215.68,213.62,2
214.24,215.02,215.23,214.01,2
215.99,216.72,216.88,215.88,1
217.18,217,217.53,216.71,1
215.82,214.24,216.03,213.44,2
213.42,214.41,214.59,213.38,2
213.41,214.13,214.88,213.03,2
213.37,213.48,213.69,212.57,1
215.28,212.96,215.73,212.75,2
213.15,213.29,214.7,212.5,2
213.23,214.84,215.1499,212.5,1
216.34,212.39,216.81,212.31,2
213.28,216.97,217.03,213.25,2
218.51,218.62,218.94,218.15,1
219.01,218.84,219.22,218.3,1
219.0308,218.7,219.12,217.86,2
218.37,218.39,218.87,217.7,1
217.39,217.37,217.73,216.03,2
217.38,217.61,217.75,216.465,2
218,218.26,218.59,217.35,1
218.3608,217.44,218.665,217.4,2
217.29,217.92,219.12,216.25,1
217.7,217.4,218.19,217.22,2
217.85,218.8,218.91,217.36,2
218.97,219.25,219.6,218.9,1
218.53,218.26,218.8,217.83,1
218.54,218.31,218.75,217.74,1
218.86,218.34,218.9,218.21,1
218.37,218,218.53,217.02,2
217.96,218.6,218.68,217.96,1
219.09,218.89,219.5,218.88,1
218.46,218.29,218.71,217.99,1
218.65,218.26,218.94,217.95,2
217.64,218.31,218.4038,217.23,1
218.18,218.13,218.76,217.8,2
218.05,218.4,218.52,217.74,1
218.18,217.21,218.23,217.07,1
216.4097,216.31,216.78,214.25,1
