1240,same,up,down
214.28,214.02,214.64,2
213.71,214.24,214.31,2
212.38,213.09,213.39,2
213.12,214.15,214.69,1
213.01,212.16,213.59,1
213.71,213.59,214.32,2
213.43,215.66,215.74,1
216.16,216.155,216.7,2
215.04,216.1,216.3,1
215.78,215.37,216.04,1
215.63,215.41,216.13,2
214.68,215.91,216.17,2
215.78,215.82,216.04,1
216.3,215.65,217.12,2
214.68,216.4,216.87,1
216.64,215.83,216.82,1
215.57,214.05,215.68,2
214.24,215.02,215.23,2
215.99,216.72,216.88,1
217.18,217,217.53,1
215.82,214.24,216.03,2
213.42,214.41,214.59,2
213.41,214.13,214.88,2
213.37,213.48,213.69,1
215.28,212.96,215.73,2
213.15,213.29,214.7,2
213.23,214.84,215.1499,1
216.34,212.39,216.81,2
213.28,216.97,217.03,2
218.51,218.62,218.94,1
219.01,218.84,219.22,1
219.0308,218.7,219.12,2
218.37,218.39,218.87,1
217.39,217.37,217.73,2
217.38,217.61,217.75,2
218,218.26,218.59,1
218.3608,217.44,218.665,2
217.29,217.92,219.12,1
217.7,217.4,218.19,2
217.85,218.8,218.91,2
218.97,219.25,219.6,1
218.53,218.26,218.8,1
218.54,218.31,218.75,1
218.86,218.34,218.9,1
218.37,218,218.53,2
217.96,218.6,218.68,1
219.09,218.89,219.5,1
218.46,218.29,218.71,1
218.65,218.26,218.94,2
217.64,218.31,218.4038,1
218.18,218.13,218.76,2
218.05,218.4,218.52,1
218.18,217.21,218.23,1
216.4097,216.31,216.78,1
216.18,215.48,216.245,2
215.5492,216.65,216.83,2
216.94,217.19,217.65,1
217.12,216.46,217.54,1
216.77,216.29,217.11,2
216.52,217.19,217.27,1
216.75,216.53,217.17,2
216.65,217,217.06,1
217.24,216.41,217.3,2
216.265,216.96,217.22,1
217.085,216.75,217.37,1
216.19,215.92,216.23,1
216.4092,215.97,216.6,2
215.83,216.78,217.0125,2
216.12,216.4,216.67,2
214.92,215.44,215.45,1
214.95,214.53,215.3,1
213.4,213.19,214.07,1
212.65,211.05,212.94,2
209.526,209.87,210.6495,1
209.66,207.83,209.8,2
208.41,208.95,209.08,1
209.9208,209.36,210.49,1
209.475,207.21,209.54,1
206.66,204.84,206.93,1
203.1997,201.48,203.23,2
199.6,201.59,201.6,2
203.13,203.63,210.8463,1
210.81,209.81,210.87,2
208.1,208.65,209.5,1
208.44,208.3,208.92,2
207.85,208.82,209.61,2
206.52,207.17,207.2,1
208.37,206.73,208.57,2
207.75,208.54,209.36,1
208.04,208,208.74,2
208.4492,209.36,210.37,2
210.07,210.46,210.86,1
212.08,211.51,212.22,1
212.37,211.84,212.52,1
211.68,211.525,212.34,1
211.35,210.7,211.77,1
210.28,210.25,210.69,1
210.91,209.8,210.93,1
210.27,209.12,210.48,2
209.84,210.56,210.69,1
210.24,209.53,210.25,2
209.34,209.44,209.71,1
209.28,208.67,209.77,1
207.87,206.17,208.24,2
205.21,205.51,205.84,1
205.49,204.92,206.1,1
204.2,204.06,204.54,1
204.91,204.44,206.3,2
204.8508,206.46,206.8,1
206.78,204.96,207.34,2
204.76,206.21,206.86,2
206.56,207.29,207.4899,2
206.5,207.91,208.54,1
208.45,206.72,208.5,1
205.8892,205.57,206.4,1
205.72,204.06,205.77,2
204.97,205.56,205.98,1
205.01,204.99,205.85,2
206.1592,206.52,206.8,1
207.97,206.92,208.18,2
206.3308,206.72,207.13,2
207.4475,208.46,209.76,1
209.35,208.47,209.81,2
208.9192,209.04,209.52,1
208.61,208.26,208.66,1
208.97,208.55,209.29,2
208.97,210.12,210.25,1
210.1,209.95,210.92,1
209.9,209.74,210.2,1
209.2392,207.14,209.28,2
207.78,208.01,208.1721,2
208.01,208.07,208.6,1
208.0008,207,208.1,1
205.92,204.22,206.25,2
204.0201,205.25,206.07,2
204.4992,205.34,205.85,2
203.95,205.14,205.56,1
206.42,204.29,206.49,2
204.1892,204.67,206.2642,2
206.25,206.83,207.07,1
206.92,204.35,207.14,2
205.52,205.91,206.41,2
206.02,206.3,206.87,1
205.1208,202.76,205.25,2
203.24,203.61,203.86,1
203.12,202,203.16,2
203.2092,204.11,204.33,1
204.56,203.76,205.23,1
204.67,204.07,204.94,1
204.38,204.17,204.78,1
204.63,203.24,205.23,1
203.34,201.6,203.82,1
202.17,201.36,202.5307,1
202.5,202.16,203.04,1
202.76,201.26,202.81,2
199.54,199.96,201.07,1
199.38,199.36,199.79,2
198.4,199.32,199.92,1
200.59,199.34,201.07,1
200.43,200.01,201.35,1
199.775,198.79,199.795,1
199,197.74,199.06,1
198.11,195.01,198.21,2
193.56,195.11,196.23,2
195.0892,196.57,196.68,1
195.54,193.73,195.55,1
193.2,190.63,193.53,2
192.32,194,194.32,1
194.78,193.87,194.95,1
192,191.17,192.18,2
192.09,193.2,193.27,1
192.88,191.16,193.32,1
189.78,188.77,189.81,1
186.63,184.96,186.65,1
182.86,182.34,184.1,2
185.27,186.41,188.34,1
185.43,183.36,186.94,2
185.42,185.77,186.12,2
187.95,190.99,191.6696,1
191.6,190.71,192.75,2
191.3,191.41,191.78,2
190.16,191.96,191.97,1
193.65,192.53,194.58,1
193.7208,190.02,193.88,2
189.11,189.96,190.2,2
188.13,189.58,191.56,1
190.2,188.42,190.53,2
187.64,189.92,190.15,1
190.52,189.78,190.76,1
186.69,186.21,188.87,1
185.65,185.03,187.495,2
188.06,189.96,190.11,1
187.81,186.77,188.76,1
191.93,189.55,193.26,2
188.83,194.45,194.86,2
193.6608,193.82,194.55,2
192.11,193.01,193.41,2
191.923,195.19,195.85,2
194.05,195.33,197.44,1
198.82,198.34,200.06,2
201.36,201.4,201.9,1
201.0192,200.49,201.03,2
203.87,205.13,205.89,2
205.93,207.11,207.21,1
207.4,206.51,207.79,1
205.21,204.86,205.26,2
205.68,205.72,206.33,1
206.02,204.69,206.07,1
203.5,202.715,203.85,1
201.67,201.41,201.88,2
200.0208,202.77,202.93,2
204.86,208.4,208.48,1
208.03,206.365,208.39,1
205.0308,204.7,206.11,1
202.9008,202.07,203.05,2
201.88,203.35,204.14,1
205.87,205.42,207.43,2
205.34,206.19,208.68,1
206.949,206.49,208.289,2
208.35,209.23,209.7295,1
209.62,206.08,209.97,2
205.61,208.83,209.15,2
208.529,210.615,211,1
210.68,209.44,210.82,2
208.69,209.75,209.89,1
209.56,209.43,209.8,2
209.32,209.5,209.74,1
209.35,207.87,209.83,2
209.07,209.38,209.98,2
209.3108,209.45,210.12,2
208.55,208.59,209.05,1
208.73,206.04,208.9,2
205.47,205.99,207.04,1
205.62,202.32,205.69,2
202.54,204.35,204.67,2
204.84,206.5,207.06,2
207.74,208.88,208.94,1
208.56,207.51,208.6,2
208.08,209.31,209.49,1
210.04,209.74,210.32,2
210.15,210.43,210.98,2
210.36,211.35,211.5,1
211,209.97,211.66,1
210.39,208.32,210.62,2
207.93,209.06,209.44,1
208.83,208.35,209.27,1
208.95,207,208.98,1
206.6,206.2,207,2
207,207.3,207.37,1
207.51,207.25,207.95,1
205.26,202.98,205.51,2
201.85,203.61,203.79,1
203.09,202.85,203.84,1
203.37,202.5,203.37,1
203.27,202.83,203.29,1
202.35,200.08,202.36,2
199.29,200.18,200.87,2
200.25,200.65,202.16,1
201.52,201.42,201.76,2
201.33,201.38,201.9,1
201.21,198.95,201.55,1
199.41,198.9,199.825,2
197.79,198.31,198.98,1
198.47,196.46,198.74,1
195,189.77,195.03,1
192.13,192.08,192.49,1
191.63,190.37,191.825,2
188.12,188.27,189.74,2
188.01,191.78,191.91,2
192.85,194.64,195,1
192.9,192.15,193.45,2
193.6,194.11,194.67,1
193.91,193.88,194.46,1
196.46,196.44,197.68,2
195.45,195.71,198.6844,2
199.73,200.02,202.89,1
200.18,198.82,200.41,1
198.46,196.61,198.99,2
196.01,196.95,197.01,1
196.74,195.375,196.82,1
195.85,194.56,197.22,2
194.79,199.32,199.47,1
197.43,195.94,197.61,2
192.59,192.85,193.86,2
195.55,196.26,198.05,1
195.41,194.62,195.46,2
191.77,193.12,194.77,2
197.67,198.11,199.125,1
199.28,198.5,199.835,1
199.27,197.02,199.42,1
194.46,192.08,194.79,2
187.27,195.43,195.45,1
189.5,187.49,197.4772,2
197.63,201.73,203.9404,2
203.97,206.51,208.2865,2
208.32,209.09,210.01,2
209.98,210.26,210.68,1
210.59,208.71,210.59,1
209.42,208.43,209.5087,2
208.66,208.73,209.55,1
208.92,207.11,209.14,2
208.67,208.97,209.47,1
210.57,209.28,210.67,2
207.95,208.16,208.34,2
208.35,210.29,210.415,2
210.07,210.45,211.31,2
209.38,209.7,210.2483,2
209.79,210.46,210.53,2
210.5,211.42,211.45,1
210.82,210.16,211.02,1
210.77,209.48,211.04,1
209.33,207.79,209.5,2
206.79,206.94,207.55,2
208,210.3,210.37,2
210.18,211.53,211.65,1
211.37,210.93,211.77,2
211.75,212.43,212.74,2
