2497,4,same,up,down
76.9,3583497,76.5,76.9,1
76.5,2173708,76.32,76.54,1
76.29,1534789,76.11,76.5,1
75.77,1211204,75.68,75.91,1
75.83,1108921,75.4,75.89,1
75.69,2745051,75.75,75.8,2
75.77,1248485,75.76,75.8,1
75.76,1403184,75.62,75.77,1
75.24,1421860,75.19,75.41,1
75.01,1407877,75.11,75.18,2
75.21,2511151,75.18,75.28,1
75.43,2515007,75.14,75.5199,1
75.03,2634581,75.12,75.37,2
75.14,5037191,74.53,75.15,1
73.28,8359211,71.88,73.31,1
71.98,3618539,72.33,72.68,2
72.77,3277481,72.88,73.02,2
72.83,2478416,73.32,73.35,2
73.18,1430529,73.2,73.26,2
73.43,4402220,73.02,73.54,1
74.06,4600919,73.72,74.07,1
74.2,3682355,74.84,74.88,2
74.66,3438231,73.94,74.71,1
73.8,3289232,73.12,73.8,1
72.89,1810401,73.02,73.18,2
73.2,2235467,73.6,73.79,2
73.6199,2046113,73.94,74.138,2
73.59,2300242,73.44,73.92,1
73.13,1318315,72.99,73.27,1
73.04,1845687,73.11,73.19,2
72.83,1272913,72.54,72.86,1
72.6,1913698,72.58,72.91,1
72.46,1325585,72.58,72.78,2
72.56,1671147,73.27,73.29,2
72.88,1773762,72.91,73.02,2
72.9,3237058,72.82,73.05,1
72.48,1732997,71.65,72.51,1
71.91,1655426,72.17,72.44,2
72.29,1698442,72.06,72.29,1
72.38,787890,71.77,72.38,1
71.45,1144603,71.3,71.4769,1
71.27,2149697,71.1,71.34,1
71.19,2239286,70.57,71.2,1
69.75,1807155,69.47,69.91,1
69.37,2332065,69.5,69.7914,2
69.55,3587311,70.78,70.87,2
70.54,1496903,70.45,71.27,1
70.81,3436500,70.99,71.1,2
70.77,1974005,70.54,71.719,1
70.7,1926021,71.6,71.9162,2
71.61,4727214,72.62,72.63,2
73.25,1066057,72.9,73.5099,1
72.7,1368142,72.39,72.82,1
72.47,1467130,73.61,73.63,2
73.23,1519093,72.54,73.27,1
72.32,1373191,72.58,72.63,2
72.28,1154797,72.3,72.54,2
72.36,1092506,72.68,72.8,2
72.16,1250349,72.63,72.73,2
72.36,2301550,72.5,72.65,2
73.29,1394018,73.19,73.42,1
73.29,1466494,74.35,74.35,2
74.58,1156860,74.57,74.87,1
74.73,1265164,74.44,74.79,1
74.38,2616278,73.95,74.4099,1
73.62,948574,73.17,73.68,1
73.02,2111862,73.38,73.58,2
73.34,1405763,73.8,73.8787,2
73.23,1263960,73.65,73.71,2
73.66,4611511,74.36,74.41,2
74.41,1128633,74.38,74.53,1
74.7,1317303,75.05,75.25,2
74.72,1614428,74.41,74.7372,1
74.16,1118760,74.06,74.34,1
73.89,2135959,74.09,74.21,2
73.78,1863939,73.99,74.47,2
73.65,1397918,73.71,73.94,2
73.99,956883,73.57,74.13,1
73.26,1477969,73.67,73.68,2
73.75,1619147,74.69,74.79,2
74.51,1437043,74.33,74.6899,1
75.04,954526,75.4,75.41,2
75.02,2569342,74.75,75.0508,1
75.12,836068,75.12,75.33,0
75.06,2004132,75.04,75.16,1
75.19,1347811,75.37,75.43,2
75.5,5731092,75.22,75.91,1
75.1,2241550,73.97,75.32,1
73.99,1364779,73.99,74.039,0
73.68,1335000,73.56,73.95,1
73.52,962576,73.88,73.98,2
73.96,1408209,73.75,73.96,1
73.6,1738444,72.55,73.605,1
72.16,998137,72.23,72.42,2
72.16,1194825,72.14,72.39,1
72.21,1273528,72.23,72.4499,2
71.78,717924,72.05,72.05,2
72.32,1230664,72.36,72.51,2
72.23,883955,72.1,72.44,1
72.24,933323,72.42,72.52,2
72.25,969758,71.64,72.38,1
71.84,1682269,72.26,72.265,2
72.38,2093285,72.22,72.53,1
72.47,2609321,72.8,73.11,2
72.62,1145063,72.53,72.63,1
72.63,1140306,72.56,72.69,1
72.49,1422582,72.02,72.58,1
71.94,897302,71.69,72.03,1
71.78,1070209,72.08,72.12,2
71.8,1489402,71.73,71.8473,1
71.86,1391290,71.5,71.87,1
71.72,699196,71.53,71.88,1
71.66,945677,71.32,71.7494,1
71.57,1085900,71.46,71.88,1
71.14,1019563,71.13,71.415,1
70.96,1485980,70.59,71.129,1
69.55,1165467,69.56,70.03,2
70.03,1300580,70.67,70.6901,2
70.31,841016,70.63,70.82,2
70.7,1882648,70.71,71.05,2
70.77,1422042,69.82,70.94,1
69.4,1120931,69.37,69.569,1
68.36,1299381,68.51,68.68,2
68.35,1128441,69.04,69.06,2
68.97,1398035,68.66,69.17,1
69.74,1028535,70.02,70.0769,2
70.38,1023272,70.41,70.63,2
70.26,1975401,69.56,70.45,1
69.76,1976189,69.58,69.88,1
69.3,670778,69.33,69.5,2
69.47,2240008,68.54,69.54,1
68.4,1466560,68.25,68.6574,1
68.67,854308,68.76,68.95,2
68.72,1234784,69.7,69.8187,2
69.34,1117137,69.4,69.488,2
69.51,2092959,69.54,69.64,2
70.17,1128017,70.22,70.489,2
70.46,1297007,69.95,70.49,1
69.89,1567756,69.87,69.95,1
69.7,2008584,69.19,69.7,1
67.92,1266592,67.61,67.98,1
68.06,2700294,67.6,68.16,1
67.41,2155720,67.26,67.63,1
67.09,3125454,67.48,67.5,2
68.55,1218209,68.35,68.67,1
68,1732652,69.64,69.72,2
69.57,1765386,69.72,69.93,2
69.7,1461019,69.36,69.99,1
68.97,1790443,68.55,69.14,1
68.77,3736563,68.28,68.85,1
68.07,1638338,67.5,68.32,1
67.37,1517003,67.65,68.08,2
67.87,1324515,67.25,67.92,1
67.14,1439532,68.65,68.71,2
68.09,1076841,67.34,68.09,1
67.5,2965682,68.38,68.4,2
67.58,1571215,66.56,67.58,1
66.04,1918893,65.39,66.1501,1
65.54,3082973,65.64,65.88,2
65.6,2883349,66.24,66.47,2
67.33,1701079,67.51,67.828,2
67.5,962336,68,68.03,2
68.58,2231382,68.26,68.69,1
67.76,692803,67.93,68.08,2
67.92,1193521,67.99,68.073,2
67.79,1777040,67.23,67.8901,1
67.67,1907790,67.76,68.26,2
67.65,2172349,66.62,67.65,1
66.42,4340747,67.22,67.38,2
66.98,2499332,68.16,68.25,2
68.16,1893447,68.75,69.07,2
68.48,1184655,68.8,69.2,2
68.85,1631280,69.01,69.32,2
69.64,1075394,69.35,70.24,1
69.83,2927382,70.19,70.22,2
69.65,2191907,69.3,70.08,1
70.07,1908982,69.94,70.17,1
70.33,1105562,70.09,70.5583,1
70.28,1771604,71.08,71.13,2
71.47,1432539,72.13,72.15,2
72.1,1403468,71.87,72.16,1
72.26,2125631,71.8,72.7899,1
71.8,1108884,72,72.1,2
72.17,1160028,72.15,72.3492,1
72,1029228,71.38,72.0899,1
71.48,1536112,71.14,71.495,1
70.44,2764617,70.32,70.64,1
70.21,2151682,70.12,70.25,1
70.82,1219566,71.06,71.285,2
70.71,2368278,71.08,71.47,2
71.12,1873467,71.13,71.35,2
71.37,1287832,70.78,71.56,1
70.3,1438942,70.75,70.848,2
70.37,1567367,71.05,71.05,2
71.24,1428567,70.32,71.28,1
70.18,2120432,70.37,70.5,2
69.6,5395949,70.78,70.9609,2
70.93,1735620,70.8,71.205,1
71.77,1198522,71.62,71.97,1
71.82,2400925,72.08,72.09,2
72.63,1861201,72.79,72.94,2
72.87,2391021,72.26,73.06,1
72.26,1244325,72.47,72.48,2
72.07,1567290,71.8,72.17,1
72.2,2864269,72.5,72.66,2
72.56,2398079,72.85,72.9373,2
72.8,1584997,72.34,72.8,1
72.11,1260394,71.84,72.175,1
71.82,1823671,71.85,72.02,2
72.4,2033339,72.51,72.61,2
72.48,1547262,72.34,72.58,1
72.73,1963664,72.41,72.99,1
72.46,1178103,72.5,72.54,2
72.35,1713816,72.04,72.39,1
71.93,1893695,72.1,72.25,2
72.08,1520914,71.18,72.08,1
70.77,1431566,70.86,70.94,2
70.82,1462156,70.6,71.01,1
70.47,1697096,70.22,70.6,1
69.75,1410954,69.4,69.83,1
69.15,2393221,69.61,69.62,2
70.28,2700308,70.44,70.5,2
70.6,1609302,70.9,70.971,2
70.95,2414052,70.67,71.0893,1
70.41,2211394,70.98,71.19,2
70.87,1839296,70.74,70.95,1
70.67,1350442,70.14,70.89,1
70.61,1267387,70.65,70.78,2
70.51,1500778,70.08,70.53,1
70.12,1781753,70.21,70.41,2
70.34,1525822,70.58,70.68,2
70.37,2093283,70.48,70.52,2
70.27,1601427,69.45,70.32,1
69.44,2022313,70,70.1,2
69.74,1875497,69.7,69.78,1
69.84,1499542,69.82,69.91,1
69.31,1365168,69.23,69.38,1
69.86,1780802,69.88,69.96,2
69.75,2404483,69.66,69.85,1
69.6,1966361,69.3,69.71,1
69.44,2289554,69.24,69.47,1
69.48,2399632,69.19,69.5,1
68.46,19893750,68.49,68.63,2
68.34,1993168,68.13,68.62,1
67.56,2250458,68,68.04,2
67.59,1760211,67.22,67.6799,1
67.86,2056539,67.48,68,1
67.81,2632688,68.48,68.599,2
