2497,,same,up,down
133.88,474039.9,134.36,135.19,2
134.19,330967.6,137.18,137.31,2
136.61,385957,135.09,136.73,1
133.1,569593.5,136.13,136.65,2
135.95,312587.2,138.15,138.61,2
139.93,210655.1,140.05,141.2352,2
140.05,167196.6,140,140.42,1
139.84,315400.7,141.16,141.4,2
141.66,264139.6,141.58,142.1899,1
141.42,192788.6,141.96,142.22,2
141.61,210313.4,142.9,142.99,2
142.33,208065,143.86,144.14,2
143.22,199882.8,143.49,143.85,2
143.3,232527.3,141.79,143.3,1
140.96,230690.7,140.83,141.03,1
140.43,256908.4,139.05,140.61,1
140.31,278677.1,140.36,140.61,2
139.8,291693.6,137.55,140.15,1
138.24,302129.6,136.28,138.51,1
137.35,484636.1,139.07,139.88,2
139,229065.1,141.18,141.4,2
140.55,230532.3,142.41,142.86,2
142.34,176526.9,141.5,142.4101,1
140.86,143987.6,139.45,140.86,1
138.71,211195.6,139.19,140.09,2
138.62,218205.3,139.45,140.96,2
139.27,249000,139.56,140.4399,2
140.11,281326.4,139.68,141.2289,1
140.05,285302.9,139.33,140.05,1
138.36,307666.5,135.62,138.55,1
136.45,297310.3,135.34,136.7,1
136.02,424941.6,135.35,136.85,1
134.23,947293.8,133.9,135.21,1
132.41,768078.6,137.53,137.8,2
137.35,617515.2,137.83,139.56,2
137.96,1079031,133.26,138.2424,1
135.74,1035118,140.21,141.3999,2
141.3,532294.9,143.51,143.68,2
144.37,292394.7,143.98,145.02,1
144.43,467029.6,144.94,145.24,2
144.38,489794.2,144.74,145.15,2
145.9,268616.4,146.58,146.82,2
146.86,199582.4,145.82,146.87,1
145.34,423391.9,145.84,145.84,2
145.28,340935.4,145.85,146.11,2
145.42,226079.1,145.1,145.5652,1
145.06,284930.4,143.84,145.06,1
143.92,211907.6,143.49,143.93,1
143.18,270614.6,143.42,143.58,2
143.43,275574.2,142.72,143.64,1
142.12,397244.6,143.53,143.82,2
142.75,266130.1,142.08,142.8469,1
141.92,218700.1,141,141.92,1
140.73,201484.3,140.57,140.85,1
140.95,262546.6,140.92,141.309,1
140.69,265551.7,140.31,140.77,1
140.37,218862.8,140.02,140.44,1
139.55,257226.4,139.42,139.81,1
139.02,305228.4,138.39,139.1,1
138.22,369967.6,137.75,138.225,1
137.25,225569.7,138.08,138.1,2
137.76,293646.9,137.79,137.81,2
137.46,224257,137.58,137.719,2
137.41,205158.7,137.34,137.52,1
137.52,192622.9,137.64,137.86,2
137.57,211111,137.62,137.93,2
137.93,252232,138.5,138.55,2
137.94,364209,138.72,138.72,2
138.5,269626,138.26,138.68,1
137.55,229295.9,136.95,137.83,1
136.33,185613.6,137.22,137.235,2
136.97,185913.2,137.03,137.4299,2
136.95,151689.2,136.98,137.25,2
136.8,193436.4,136.5,136.83,1
136.48,150212,136.27,136.52,1
135.77,153764.7,135.14,135.94,1
135.23,283562.3,135.11,135.46,1
135.31,258275.6,136.09,136.33,2
135.89,311931,137.04,137.3847,2
136.07,358557.3,136.28,136.5,2
136.34,285417.4,135.88,136.92,1
135.3,206641.9,135.46,135.79,2
135.3,292223.1,134.25,135.3599,1
133.97,175444,134.12,134.29,2
134.11,67054.5,134.08,134.13,1
133.8,129557.4,133.94,134,2
133.9,195690.1,133.44,133.94,1
132.98,180575.5,132.82,133.05,1
132.64,485040.2,132.64,132.91,0
132.89,173066.8,132.11,133.1,1
131.69,177232.3,131.79,132.08,2
132.37,377662.1,132.22,132.42,1
132.61,187607.8,132.11,132.75,1
132.54,204241.4,132.24,132.63,1
132.52,432028.8,132.38,132.74,1
133.06,126763.2,132.73,133.12,1
132.84,252768.4,133.16,133.33,2
133.07,201787.1,132.77,133.165,1
132.82,267743.7,132.54,132.885,1
132.47,509717.7,132.34,132.53,1
132.44,227554.6,132.83,133.0342,2
132.33,237837.1,132.27,132.5,1
132.06,168922.4,132.42,132.54,2
132.64,267283.3,131.94,132.6743,1
131.57,539670.4,131.72,132.01,2
131.4,218574.9,131.91,131.95,2
132.09,157447.3,132.16,132.23,2
131.86,175590.7,132.63,132.68,2
132.42,175111.7,132.07,132.45,1
131.71,194263.6,131.25,131.71,1
131.68,147110.6,131.8,131.83,2
131.51,134078.8,131.5,131.5699,1
131.45,178974.9,131.5,131.65,2
131.36,154397,131.55,131.59,2
131.26,217095.2,131.16,131.45,1
131.42,201268.8,131.24,131.43,1
131.24,291539.7,131.25,131.48,2
130.93,101211.6,131.3,131.3558,2
131.19,163503.4,131.06,131.2299,1
131.28,238731.1,130.73,131.34,1
130.59,149573,130.45,130.78,1
130.46,182513.5,130.31,130.5,1
130.2,267808.5,129.64,130.2,1
129.52,172060.8,129.02,129.56,1
129.1,148484.7,128.82,129.13,1
128.89,237362.7,128.84,129.1,1
128.19,185155.3,128.35,128.51,2
128.16,218597.9,128.24,128.43,2
128.37,160161.5,128.14,128.44,1
128.82,173081.3,129.12,129.13,2
129.18,172934.9,129.1,129.21,1
128.97,124166,129.06,129.1,2
128.91,179234.7,128.85,129.1,1
128.6,153145.4,128.31,128.62,1
128.36,149323.5,128.23,128.48,1
128.4,169251.6,128.23,128.41,1
128.34,226409.2,128.04,128.34,1
127.85,134694.1,127.15,127.905,1
126.49,120625.5,126.35,126.74,1
126.58,121867.4,126.96,126.96,2
126.64,144986.4,126.69,126.86,2
126.29,231897,126.92,127.1,2
127.27,212283,127.23,127.46,1
126.98,338442.5,126.46,127.14,1
126.12,173062.1,125.46,126.28,1
125.46,131240.3,124.59,125.62,1
125.41,178807.4,125.66,125.66,2
125.36,115822,125.42,125.85,2
125.06,138194.1,125.5,125.63,2
125.26,126884.6,125.07,125.51,1
125.64,208962.8,124.73,125.75,1
124.39,162729.6,124.22,124.4799,1
124.21,283621.6,124.48,124.94,2
124.42,344031.3,126.09,126.285,2
126.43,137982.9,126.5,126.8,2
126.2,152303.9,126.61,126.63,2
126.32,146744.6,125.8,126.434,1
125.04,203911.9,124.94,125.328,1
124.81,245441.6,126.14,126.21,2
